PRODUCT,QUANTITY,UNIT,CATEGORY OF PRODUCT,SUPPLIER,CONTAINER NO,ETA - WAREHOUSE DELIVERY,BOOKING/ORDER NO,ETA - DATE OF ENTRY ,COUNTRY OF SHIPPING,DATE OF ORDER (D/M/Y),DATE RECEIVED,TIME RECEIVED(24H),ORDER LATE?,DAYS OVER,DELIVERY NOTE,Price Per Unit(£),Total Price,,,,,,,,,
Pizza Boxes X100 (12 Inch),24,Pallets,Packaging,ANKUTSAN,FFAU3153198,26/3/2025,2156692420,26/3/2025,Turkey,5/1/2025,26/3/2025,09:33,On Time,0,deliveryNote_2156692420.pdf,1349.55,"32,389.20",,,,,,,,,
Ready Mix Fireaway Flour 25KG,21,Pallets,Ambient,MOLINI PIZZUTI S.R.L.,CMAU6192040,26/3/2025,TLPL2549983,26/3/2025,Italy ,18/3/2025,26/3/2025,08:31,On Time,0,deliveryNote_TLPL2549983.pdf,1099.6,"23,091.60",,,,,,,,,
Semolina Streching Flour- 25KG,3,Pallets,Ambient,MOLINI PIZZUTI S.R.L.,CMAU6192040,26/3/2025,TLPL2549983,26/3/2025,Italy ,18/3/2025,26/3/2025,08:31,On Time,0,deliveryNote_TLPL2549983.pdf,1359.6,"4,078.80",,,,,,,,,
Ready Mix Fireaway Flour 25KG,24,Pallets,Ambient,MOLINI PIZZUTI S.R.L.,SEGU5061754,27/3/2025,TLPL2549983,27/3/2025,Italy ,18/3/2025,27/3/2025,09:00,On Time,0,flourSEGU5061754,1099.6,"26,390.40",,,,,,,,,
Franks- Red Hot Buffalo Sauce- 3.78/3.9KG,1,Pallets,Dips & Sauce,RH AMAR,N/A,27/3/2025,514037,27/3/2025,United Kingdom,26/3/2025,27/3/2025,11:00,On Time,0,deliveryNote_514037.pdf,3198.4,"3,198.40",,,,,,,,,
Mozzarella 2KG X 6,26,Pallets,Chilled,LEPRINO FOODS,N/A,27/3/2025,531833197,27/3/2025,United Kingdom,19/3/2025,28/3/2025,10:00,Late,1,deliveryNote_531833197,3099.5,"80,587.00",,,,,,,,,
Mozzarella 2KG X 6,13,Pallets,Chilled,LEPRINO FOODS,N/A,29/3/2025,531484730,29/3/2025,United Kingdom,22/1/2025,30/3/2025,11:00,Late,1,deliveryNote_mozz_531484730,3099.5,"40,293.50",,,,,,,,,
Buffalo- 2KG,330,Kilograms,Chilled,MAMMA FIORE,N/A,30/3/2025,1000008383,30/3/2025,United Kingdom,24/3/2025,30/3/2025,13:00,On Time,0,deliveryNote_buffalo_330kg,3,990.00,,,,,,,,,
Vegan Strips/ Plant Based Goujons- 5 X 1KG,2,Pallets,Frozen,MPO GLOBAL,N/A,2/4/2025,FIRE/23032025,2/4/2025,United Kingdom,23/3/2025,2/4/2025,13:30,On Time,0,deliveryNote_VStrips_23032025,2205,"4,410.00",,,,,,,,,
Vegan Cheese- 1KG,1,Pallets,Chilled,UPFIELD,N/A,2/4/2025,FIRE27032025,2/4/2025,United Kingdom,27/3/2025,2/4/2025,11:00,On Time,0,dN_VCheese_Fire27032025,513,513.00,,,,,,,,,
Sliced Pepperoni- 10 X 1KG,8,Pallets,Chilled,MINSTER FOODS,N/A,2/4/2025,VL2025001178,2/4/2025,United Kingdom,20/3/2025,2/4/2025,13:40,On Time,0,dN_Pepperoni_02/04/2025,4899.3,"39,194.40",,,,,,,,,
Mozzarella 2KG X 6,16,Pallets,Chilled,LEPRINO FOODS,N/A,3/4/2025,531885907,3/4/2025,United Kingdom,26/3/2025,3/4/2025,11:30,On Time,0,dN_mozz_531885907,3099.5,"49,592.00",,,,,,,,,
Mango Topping Sauce(Simply)- 1KG,10,Boxes,Dips & Sauce,ITALIAN BEVERAGE COMPANY,N/A,8/4/2025,0-000133535,8/4/2025,United Kingdom,3/4/2025,8/4/2025,12:00,On Time,0,dN_Sauce_03/04/2025,44.7,447.00,,,,,,,,,
Strawberry Topping Sauce(Simply)- 1KG,15,Boxes,Dips & Sauce,ITALIAN BEVERAGE COMPANY,N/A,8/4/2025,0-000133535,8/4/2025,United Kingdom,3/4/2025,8/4/2025,12:00,On Time,0,dN_Sauce_03/04/2025,44.7,670.50,,,,,,,,,
Luxury Milk Chocolate Topping Sauce(Simply)- 1KG,15,Boxes,Dips & Sauce,ITALIAN BEVERAGE COMPANY,N/A,8/4/2025,0-000133535,8/4/2025,United Kingdom,3/4/2025,8/4/2025,12:00,On Time,0,dN_Sauce_03/04/2025,44.7,670.50,,,,,,,,,
Diet Coke 330ML X 24(Can),2,Pallets,Drinks Can,COCA COLA (CCEP),N/A,9/4/2025,129780991,9/4/2025,United Kingdom,3/4/2025,9/4/2025,08:30,On Time,0,invoice_coca-cola_0129780991,1254,"2,508.00",,,,,,,,,
Coca-Cola Zero Sugar 330ML X 24 (Can),3,Pallets,Drinks Can,COCA COLA (CCEP),N/A,9/4/2025,129780991,9/4/2025,United Kingdom,3/4/2025,9/4/2025,08:30,On Time,0,invoice_coca-cola_0129780991,1254,"3,762.00",,,,,,,,,
Pesto Base Sauce- 1.5KG,1,Pallets,Chilled,MAMMA FIORE,N/A,9/4/2025,1000002381,9/4/2025,United Kingdom,7/4/2025,9/4/2025,08:00,On Time,0,dN_pesto_1000002381,2757.6,"2,757.60",,,,,,,,,
Jalapaneo- 3KG X 6,4,Pallets,Ambient,MARTIN MATTEW,N/A,10/4/2025,MM-03042025,10/4/2025,United Kingdom,3/4/2025,10/4/2025,09:00,On Time,0,dN_Jala&SCorn_03/04/2025,1449.5,"5,798.00",,,,,,,,,
SweetCorn(Big)- 2.1KG X 6,2,Pallets,Ambient,MARTIN MATTEW,N/A,10/4/2025,MM-03042025,10/4/2025,United Kingdom,3/4/2025,10/4/2025,09:00,On Time,0,dN_Jala&SCorn_03/04/2025,1725,"3,450.00",,,,,,,,,
Fireaway MilkShake Cups & Lids (400),26,Pallets,Packaging,TREND PACK,ONEU-5185454,2/4/2025,ISTEF1335,2/4/2025,Turkey,20/3/2025,10/4/2025,08:41,Late,8,dN_MilkCups_20/03/2025,279.2,"7,259.20",,,,,,,,,
Turkey Rashers/Bacon- (5KG) 10 X 500G,3,Pallets,Chilled,MINSTER FOODS,N/A,11/4/2025,Minster-03/04/25,9/4/2025,Belgium,3/4/2025,10/4/2025,15:00,On Time,0,dN_Rashers_10/04/2025,6646,"19,938.00",,,,,,,,,
Tandoori Diced Chicken- 10KG,3,Pallets,Frozen,MINSTER FOODS,N/A,11/4/2025,Minster-03/04/25,9/4/2025,Belgium,20/3/2025,10/4/2025,15:30,On Time,0,dN_T&S_10/04/2025,3599.5,"10,798.50",,,,,,,,,
Italian Beef Sausage- 10KG,3,Pallets,Frozen,MINSTER FOODS,N/A,11/4/2025,Minster-03/04/25,9/4/2025,Belgium,20/3/2025,10/4/2025,15:30,On Time,0,dN_T&S_10/04/2025,3449.5,"10,348.50",,,,,,,,,
Mozzarella 2KG X 6,10,Pallets,Chilled,LEPRINO FOODS,N/A,10/4/2025,531941567,9/4/2025,United Kingdom,9/4/2025,10/4/2025,10:30,On Time,0,dN_mozz_09/04/2025,3099.5,"30,995.00",,,,,,,,,
Kinder Homemade Cookies X10,145,Boxes,Ambient,WEST BAKES,N/A,13/4/2025,WestBakes_10/04/25,10/4/2025,United Kingdom,10/4/2025,13/4/2025,08:00,On Time,0,cookies_10/04/2025,9.99,"1,448.55",,,,,,,,,
Rolo Homemade Cookies- X10,5,Boxes,Ambient,WEST BAKES,N/A,13/4/2025,WestBakes_10/04/25,10/4/2025,United Kingdom,10/4/2025,13/4/2025,08:00,On Time,0,cookies_10/04/2025,9.99,49.95,,,,,,,,,
